"unitid","institution name","year","EF2017D_RV.Full-time fall 2016 cohort","EF2017D_RV.Full-time retention rate, 2017","EF2017D_RV.Part-time fall 2016 cohort","EF2017D_RV.Part-time retention rate, 2017","DRVEF2017_RV.Total  enrollment","EF2017D_RV.Student-to-faculty ratio","F1617_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1617_F1A_RV.Federal operating grants and contracts","F1617_F1A_RV.State operating grants and contracts","F1617_F1A_RV.Local/private operating grants and contracts","F1617_F1A_RV.Sales and services of auxiliary enterprises","F1617_F1A_RV.Sales and services of educational activities","F1617_F1A_RV.Federal appropriations","F1617_F1A_RV.State appropriations","F1617_F1A_RV.Local appropriations, education district taxes, and similar support","F1617_F1A_RV.Federal nonoperating grants","F1617_F1A_RV.State nonoperating grants","F1617_F1A_RV.Local nonoperating grants","F1617_F1A_RV.Gifts, including contributions from affiliated organizations","F1617_F1A_RV.Total all revenues and other additions","F1617_F1A_RV.Instruction - Current year total","F1617_F1A_RV.Research - Current year total","F1617_F1A_RV.Public service - Current year total","F1617_F1A_RV.Academic support - Current year total","F1617_F1A_RV.Student services - Current year total","F1617_F1A_RV.Institutional support - Current year total","F1617_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1617_F1A_RV.Auxiliary enterprises -- Current year total","F1617_F1A_RV.Total expenses and deductions - Current year total","DRVGR2017_RV.Graduation rate, total cohort","DRVGR2017_RV.Graduation rate, American Indian or Alaska Native","DRVGR2017_RV.Graduation rate, Asian","DRVGR2017_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2017_RV.Graduation rate, Black, non-Hispanic","DRVGR2017_RV.Graduation rate, Hispanic","DRVGR2017_RV.Graduation rate, White, non-Hispanic","DRVGR2017_RV.Graduation rate, Nonresident alien","DRVGR2017_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2017_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2017_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2017","1400","90","4","75","18289","19","106747230","1916575","17864866","9208707","0","0","0","72526748","2185000","32925508","0","0","3662","286089528","163848742","3230236","1121779","24632545","32699135","38632352","17858363","1412871","294041952","70","100","75",,"62","63","67","60","41","64","70"
"190549","CUNY Brooklyn College","2017","1320","82","10","90","17803","16","63801665","7758789","22149771","9549385","27892","0","0","102304252","1685341","35349957","0","0","782169","305116156","151059046","11751138","1839628","26015881","29553293","38089735","19474531","1726776","289871517","58","0","66",,"47","48","62","34","28","51","58"
"190558","College of Staten Island CUNY","2017","604","76","17","53","13594","18","42191336","2878079","19994956","4752590","267402","0","0","72973489","6995800","27635773","0","0","6884","216323081","115343633","5621720","2350700","13386160","22719345","28656457","14596042","1188855","212263745","30","67","30",,"19","24","35","26","20","41","48"
"190567","CUNY City College","2017","1805","86","22","73","16001","14","51584091","34010090","25508811","27506306","155598","0","0","150872656","2276204","33959286","0","0","1018171","457697672","224095252","69562277","7462137","37559662","27075040","48966652","27175256","3946101","459413302","50","33","55",,"46","45","57","40","12","41","50"
"190594","CUNY Hunter College","2017","2193","83","15","80","23005","12","112134726","18865555","29821170","41252012","4501455","0","0","124864370","2922800","35978990","0","0","323158","422830459","217633201","30472638","7515602","31816448","33080238","53566436","26844210","8394952","423681535","52","67","53",,"53","48","53","46","24","46","52"
"190600","CUNY John Jay College of Criminal Justice","2017","1506","78","16","50","14834","18","49240816","8163167","21833176","17770067","0","0","0","74501641","3987002","33032581","0","0","44288","257588560","142861577","11945336","861128","28752472","27713732","29439479","22279617","3305945","275355242","47","44","47",,"45","48","47","53","24","42","47"
"190637","CUNY Lehman College","2017","672","83","18","61","14130","16","43636578","9845215","18054568","10060977","0","0","0","81419037","886150","28729093","0","0","344","224315546","122463642","6700563","4812869","19789033","20064807","24286381","17157174","2303767","225656479","46","0","50",,"47","43","52","46","20","38","46"
"190646","CUNY Medgar Evers College","2017","105","70","3","67","6652","20","12560437","3554480","12141649","6655943","0","0","0","51427888","3396200","19595480","0","0","0","144810327","67402533","2381145","2839741","19224097","14574642","16409693","10267004","859908","141075235","12","0","7",,"13","7","8","12","6","18","23"
"190655","CUNY New York City College of Technology","2017","572","78","15","60","17279","18","36586787","3301372","37758773","4288396","0","0","0","64422771","10301000","41183814","0","0","0","321365308","129006068","1444373","1111355","13614148","18721979","31602531","21534823","961811","225653363","18","33","24",,"13","18","22","14","6","18","26"
"190664","CUNY Queens College","2017","1453","84","28","71","19866","15","79573903","13060556","20294315","17028748","0","0","0","93767212","1442400","33462862","0","0","1434795","301097523","160567163","19908301","5734188","24899009","28773531","39870490","19317314","2678077","312385702","54","100","49",,"48","50","60","40","29","48","54"
"190691","CUNY York College","2017","936","71","35","66","8533","20","20149558","3781624","13106969","2411238","0","0","0","48980112","552789","18255315","0","0","1026","118936947","61210373","1695004","2320975","11658723","16118540","21556723","10404445","1148813","132484539","29","45","34",,"30","27","18","25","7","21","29"
