"unitid","institution name","year","EF2014D_RV.Full-time fall 2013 cohort","EF2014D_RV.Full-time retention rate, 2014","EF2014D_RV.Part-time fall 2013 cohort","EF2014D_RV.Part-time retention rate, 2014","DRVEF2014_RV.Total  enrollment","EF2014D_RV.Student-to-faculty ratio","F1314_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1314_F1A_RV.Federal operating grants and contracts","F1314_F1A_RV.State operating grants and contracts","F1314_F1A_RV.Local/private operating grants and contracts","F1314_F1A_RV.Sales and services of auxiliary enterprises","F1314_F1A_RV.Sales and services of educational activities","F1314_F1A_RV.Federal appropriations","F1314_F1A_RV.State appropriations","F1314_F1A_RV.Local appropriations, education district taxes, and similar support","F1314_F1A_RV.Federal nonoperating grants","F1314_F1A_RV.State nonoperating grants","F1314_F1A_RV.Local nonoperating grants","F1314_F1A_RV.Gifts, including contributions from affiliated organizations","F1314_F1A_RV.Total all revenues and other additions","F1314_F1A_RV.Instruction - Current year total","F1314_F1A_RV.Research - Current year total","F1314_F1A_RV.Public service - Current year total","F1314_F1A_RV.Academic support - Current year total","F1314_F1A_RV.Student services - Current year total","F1314_F1A_RV.Institutional support - Current year total","F1314_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1314_F1A_RV.Auxiliary enterprises -- Current year total","F1314_F1A_RV.Total expenses  deductions - Current year total","DRVGR2014_RV.Graduation rate, total cohort","DRVGR2014_RV.Graduation rate, American Indian or Alaska Native","DRVGR2014_RV.Graduation rate, Asian","DRVGR2014_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2014_RV.Graduation rate, Black, non-Hispanic","DRVGR2014_RV.Graduation rate, Hispanic","DRVGR2014_RV.Graduation rate, White, non-Hispanic","DRVGR2014_RV.Graduation rate, Nonresident alien","DRVGR2014_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2014_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2014_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2014","1245","90","9","33","18090","16","100387870","2031171","18796382","6376083","0","0","0","64912601","0","29773287","0","0","8643","257972534","132421365","1754120","20231","22543823","29793363","53319370","19935170","1075017","261849055","66","75","70",,"60","57","65","66","35","60","66"
"190549","CUNY Brooklyn College","2014","1183","82","10","50","17390","14","60207674","7762551","18007535","4653986","35228","0","0","89541930","0","31228101","0","0","2167262","250907079","120220299","8211670","559305","26418527","26908123","56652785","15057881","1269326","256720322","50",,"57",,"44","40","54","48","24","43","50"
"190558","College of Staten Island CUNY","2014","824","80","18","78","14346","18","44379165","1896811","18606066","3683635","165267","0","0","64861764","5471000","28205304","0","0","5290","185077899","95251266","3705712","1682782","17755922","20316474","38177137","14315345","866309","192889583","27","20","28",,"14","19","32","18","21","41","47"
"190567","CUNY City College","2014","1431","86","13","69","15579","11","55501342","39417724","24436297","15833690","213268","0","0","129691213","0","30703841","0","0","1846052","455507168","159628922","56598452","3571614","43439704","20092418","78364488","27272153","1903548","393256382","44","67","47",,"42","42","45","48","10","34","44"
"190594","CUNY Hunter College","2014","1921","86","55","69","23112","11","106984945","24108812","24070196","17519366","4363957","0","0","107269922","675","32221913","0","0","1293297","352916953","165063070","31182165","4266765","35678343","26216541","66809925","20621301","2411149","353301696","52","33","59",,"54","47","50","44","22","44","52"
"190600","CUNY John Jay College of Criminal Justice","2014","1850","79","11","36","15045","17","49638757","6071848","22869751","11228852","0","0","0","66635489","2534000","34762219","0","0","55073","245638164","104135849","8075439","475939","32702981","23968071","55855595","23035602","6768782","258122880","39","67","44",,"35","36","43","54","22","38","44"
"190637","CUNY Lehman College","2014","582","83","6","100","12398","14","50745411","9536381","14421066","7302157","0","0","0","68197954","0","24219465","0","0","8979","202200426","89571967","4855875","1730418","25901155","17549196","36059589","25093092","1417907","202928806","37","0","46",,"38","34","51","35","14","31","37"
"190646","CUNY Medgar Evers College","2014","43","65","1","0","6701","19","12337994","3149884","11859723","5904750","0","0","0","44783599","3139000","18546652","0","0","249244","118365376","50818357","1348283","3248581","18623105","12266977","25668433","10030759","1463426","129874389","12",,"17",,"11","16","0","20","4","11","14"
"190655","CUNY New York City College of Technology","2014","430","75","19","84","17374","17","35259808","3749826","35295799","4307298","0","0","0","54083979","9071000","41777068","0","0","47789","239902912","105968393","1115159","393958","16594740","14171860","35643743","20433302","640706","195373789","15","10","21",,"13","13","18","18","4","12","20"
"190664","CUNY Queens College","2014","1350","86","14","71","19310","14","73380180","15293844","19617078","9934513","644020","0","0","87853177","0","27701331","0","0","1098129","271463630","129280001","21974264","1691029","29114548","32249051","56162893","15074623","2025594","288575763","57","100","54",,"51","49","64","46","27","49","57"
"190691","CUNY York College","2014","953","77","39","54","8493","21","20859139","3568107","13120287","2315813","0","0","0","42744407","0","19572819","0","0","1357","112363868","53040725","1488125","1151301","11839376","10835771","25757166","11362716","706671","116689898","29","33","30",,"33","23","30","29","8","22","29"
