"unitid","institution name","year","EF2015D_RV.Full-time fall 2014 cohort","EF2015D_RV.Full-time retention rate, 2015","EF2015D_RV.Part-time fall 2014 cohort","EF2015D_RV.Part-time retention rate, 2015","DRVEF2015_RV.Total  enrollment","EF2015D_RV.Student-to-faculty ratio","F1415_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1415_F1A_RV.Federal operating grants and contracts","F1415_F1A_RV.State operating grants and contracts","F1415_F1A_RV.Local/private operating grants and contracts","F1415_F1A_RV.Sales and services of auxiliary enterprises","F1415_F1A_RV.Sales and services of educational activities","F1415_F1A_RV.Federal appropriations","F1415_F1A_RV.State appropriations","F1415_F1A_RV.Local appropriations, education district taxes, and similar support","F1415_F1A_RV.Federal nonoperating grants","F1415_F1A_RV.State nonoperating grants","F1415_F1A_RV.Local nonoperating grants","F1415_F1A_RV.Gifts, including contributions from affiliated organizations","F1415_F1A_RV.Total all revenues and other additions","F1415_F1A_RV.Instruction - Current year total","F1415_F1A_RV.Research - Current year total","F1415_F1A_RV.Public service - Current year total","F1415_F1A_RV.Academic support - Current year total","F1415_F1A_RV.Student services - Current year total","F1415_F1A_RV.Institutional support - Current year total","F1415_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1415_F1A_RV.Auxiliary enterprises -- Current year total","F1415_F1A_RV.Total expenses  deductions - Current year total","DRVGR2015_RV.Graduation rate, total cohort","DRVGR2015_RV.Graduation rate, American Indian or Alaska Native","DRVGR2015_RV.Graduation rate, Asian","DRVGR2015_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2015_RV.Graduation rate, Black, non-Hispanic","DRVGR2015_RV.Graduation rate, Hispanic","DRVGR2015_RV.Graduation rate, White, non-Hispanic","DRVGR2015_RV.Graduation rate, Nonresident alien","DRVGR2015_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2015_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2015_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2015","1274","91","8","38","18433","17","98446013","1827125","19389379","8682277","0","0","0","64841338","0","32596270","0","0","23991","253592079","161967556","2461571","148204","25727303","27770217","34310643","14620574","1572659","269633111","70","0","73",,"59","66","69","74","42","64","70"
"190549","CUNY Brooklyn College","2015","1347","82","11","55","17410","15","64113257","8009881","20895215","6151962","71833","0","0","89953621","0","34204306","0","0","4384535","278292282","145269193","11960394","1168162","25212835","28736227","38845486","19895535","1722782","273736940","54","100","57",,"52","42","59","42","23","49","54"
"190558","College of Staten Island CUNY","2015","693","80","13","54","13701","18","44506212","2364705","20319610","5013111","261721","0","0","61907410","5471000","28739971","0","0","6194","183098070","109597186","4802880","1689325","14133396","20731067","27217967","16060328","1330138","196263130","26","0","29",,"13","16","31","23","19","38","43"
"190567","CUNY City College","2015","1425","87","16","56","15778","12","54885448","37769649","24754548","17390070","205443","0","0","135671332","0","32423771","0","0","2956926","458540166","216438666","61713966","6167395","34463213","20880501","38668493","28278324","3340560","412805001","44","100","47",,"44","45","45","32","11","36","44"
"190594","CUNY Hunter College","2015","2038","83","42","52","22918","11","112713914","25091629","26432105","21042801","4268061","0","0","108770531","0","34400230","0","0","670077","494704795","191528100","29518662","6467939","33929063","27232448","46492793","27556758","8309416","373360230","54","25","53",,"56","53","54","50","25","46","54"
"190600","CUNY John Jay College of Criminal Justice","2015","1744","78","19","53","14732","17","48752173","6960225","23034443","15888590","0","0","0","66563393","2534000","35256107","0","0","50515","251082839","146426638","8241309","564527","28946849","24684406","29404652","21251866","3709642","264746166","36","18","45",,"34","34","36","50","19","36","41"
"190637","CUNY Lehman College","2015","660","83","14","71","12807","15","41487774","10106535","16511933","7961370","0","0","0","68451059","0","26177918","0","0","2151","197548082","111890467","5289634","4130704","20690045","16950908","21774052","16377961","2243903","199802974","38","0","35",,"31","39","47","45","15","31","38"
"190646","CUNY Medgar Evers College","2015","111","63","8","50","6765","19","13231650","2565298","11958141","7652540","0","0","0","47434931","3139000","19197161","0","0","193659","126218168","67100915","1388292","2849143","20774551","13519558","15009012","10267951","1287841","133520885","11","0","15",,"11","8","0","20","7","14","19"
"190655","CUNY New York City College of Technology","2015","537","76","23","78","17424","17","34167095","4206284","37680085","6616794","0","0","0","56964244","9071000","42658831","0","0","26444","258605676","120833137","737769","393029","15722790","17054367","29737639","21963523","1026454","207739869","16","10","22",,"13","14","20","17","12","23","30"
"190664","CUNY Queens College","2015","1514","85","30","50","19520","14","80214579","14086320","21680644","15775049","783357","0","0","84158062","0","30019471","0","0","1103350","282414199","154372089","22418019","4141896","25524811","28525037","41449804","18995892","3197688","300734380","58","100","55",,"55","53","61","55","28","51","58"
"190691","CUNY York College","2015","960","74","34","85","8511","19","17119929","2937568","18031317","2474375","0","0","0","41695029","0","19516183","0","0","443","110588193","64612552","1301014","1554067","10193659","10671819","19807454","10055948","1164078","119876653","27","57","26",,"31","23","15","30","5","18","27"
