"unitid","institution name","year","EF2020D_RV.Full-time fall 2019 cohort","EF2020D_RV.Full-time retention rate, 2020","EF2020D_RV.Part-time fall 2019 cohort","EF2020D_RV.Part-time retention rate, 2020","DRVEF2020_RV.Total  enrollment","EF2020D_RV.Student-to-faculty ratio","F1920_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1920_F1A_RV.Federal operating grants and contracts","F1920_F1A_RV.State operating grants and contracts","F1920_F1A_RV.Local/private operating grants and contracts","F1920_F1A_RV.Sales and services of auxiliary enterprises","F1920_F1A_RV.Sales and services of educational activities","F1920_F1A_RV.Federal appropriations","F1920_F1A_RV.State appropriations","F1920_F1A_RV.Local appropriations, education district taxes, and similar support","F1920_F1A_RV.Federal nonoperating grants","F1920_F1A_RV.State nonoperating grants","F1920_F1A_RV.Local nonoperating grants","F1920_F1A_RV.Gifts, including contributions from affiliated organizations","F1920_F1A_RV.Total all revenues and other additions","F1920_F1A_RV.Instruction - Current year total","F1920_F1A_RV.Research - Current year total","F1920_F1A_RV.Public service - Current year total","F1920_F1A_RV.Academic support - Current year total","F1920_F1A_RV.Student services - Current year total","F1920_F1A_RV.Institutional support - Current year total","F1920_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1920_F1A_RV.Auxiliary enterprises -- Current year total","F1920_F1A_RV.Total expenses and deductions - Current year total","DRVGR2020_RV.Graduation rate, total cohort","DRVGR2020_RV.Graduation rate, American Indian or Alaska Native","DRVGR2020_RV.Graduation rate, Asian","DRVGR2020_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2020_RV.Graduation rate, Black, non-Hispanic","DRVGR2020_RV.Graduation rate, Hispanic","DRVGR2020_RV.Graduation rate, White, non-Hispanic","DRVGR2020_RV.Graduation rate, Nonresident alien","DRVGR2020_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2020_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2020_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2020","2261","88","7","57","19740","20","104727140","2126332","23575223","8803537","0","0","0","80407156","3038168","50865378","0","0","3217","343992064","170437234","2622547","2179673","22367859","29572524","39816095","28137887","1460195","321814930","73","67","78","67","63","68","71","67","45","68","73"
"190549","CUNY Brooklyn College","2020","1881","82","12","50","17735","17","61554158","5969985","27941388","11044735","43112","0","0","105719616","2784230","53755220","0","0","409341","325598931","161305059","12326685","1835115","25052443","27602578","35352388","31064998","1759379","320538333","54","0","54","57","43","50","62","48","28","49","54"
"190558","College of Staten Island CUNY","2020","594","81","4","75","12797","20","43783789","2940299","20294173","3328817","9361","0","0","75444824","14136492","39039724","0","0","4860","227018451","120721427","4833070","980139","14326441","20072281","26646758","21728553","1302690","229121195","31","30","35","44","22","21","40","29","26","42","50"
"190567","CUNY City College","2020","2054","80","38","71","15227","15","59368176","25759646","30615798","31922870","0","0","0","161837567","3485281","47212085","0","0","195121","554811072","258728476","64017859","10826425","43343461","25670072","50428339","33768296","4039723","521739269","60","100","61","54","59","57","60","68","24","52","60"
"190594","CUNY Hunter College","2020","2526","84","21","52","24052","15","108813901","23068569","35105949","47775181","5159974","0","0","125126100","3834421","57235529","0","0","127047","442131934","227408103","37002755","7637493","22964203","31630451","54856821","37407651","8595646","461069558","56","50","60","33","52","49","57","61","27","50","56"
"190600","CUNY John Jay College of Criminal Justice","2020","2022","83","33","67","15766","19","51260126","7327304","29247166","24120218","66398","0","0","83518487","3683233","52501648","0","0","52866","348812224","163349787","19607655","9381480","34790560","25053789","31823908","30568279","3063629","339424833","51","50","50","62","46","49","56","65","33","47","51"
"190637","CUNY Lehman College","2020","933","81","9","67","15091","17","45355658","9238758","22092153","11284437","0","0","0","79410943","2362467","46585319","0","0","1693","269701934","139100512","6626540","5517894","16650823","18913659","25112813","25441343","2213071","258833852","53","0","65","33","54","51","53","58","28","47","53"
"190646","CUNY Medgar Evers College","2020","299","49","11","45","5237","20","11186544","2619117","9785203","7143865","0","0","0","54958156","9068530","22646698","0","0","1708","155920375","78504393","1865432","1711193","15204985","14084979","17710825","13160115","912044","153977862","21","25","9","0","22","17","20","21","3","12","23"
"190655","CUNY New York City College of Technology","2020","1003","62","33","58","15513","17","38519167","3486829","31076421","2913575","0","0","0","73695816","17019134","53283448","0","0","0","265418013","140946188","1355445","1275570","13507517","16506444","29124415","30456620","1158012","253261544","18","13","23","23","13","17","25","23","6","17","27"
"190664","CUNY Queens College","2020","2246","83","20","70","19700","17","77435337","13637899","25484644","17737941","0","0","0","101405405","2527757","50925835","0","0","91381","355111976","174704698","20549555","5363071","22618398","25219836","39723934","29023173","3961407","346242605","53","40","49","40","51","48","63","47","26","46","53"
"190691","CUNY York College","2020","1100","63","22","45","7784","19","22692925","5137226","13963323","2677705","0","0","0","55219642","1153827","24092146","0","0","112","150660891","70990652","1975525","1880383","9488602","15236898","18959149","14766950","1266947","145721111","32","50","34","50","35","28","19","26","8","25","32"
