"unitid","institution name","year","EF2018D_RV.Full-time fall 2017 cohort","EF2018D_RV.Full-time retention rate, 2018","EF2018D_RV.Part-time fall 2017 cohort","EF2018D_RV.Part-time retention rate, 2018","DRVEF2018_RV.Total  enrollment","EF2018D_RV.Student-to-faculty ratio","F1718_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1718_F1A_RV.Federal operating grants and contracts","F1718_F1A_RV.State operating grants and contracts","F1718_F1A_RV.Local/private operating grants and contracts","F1718_F1A_RV.Sales and services of auxiliary enterprises","F1718_F1A_RV.Sales and services of educational activities","F1718_F1A_RV.Federal appropriations","F1718_F1A_RV.State appropriations","F1718_F1A_RV.Local appropriations, education district taxes, and similar support","F1718_F1A_RV.Federal nonoperating grants","F1718_F1A_RV.State nonoperating grants","F1718_F1A_RV.Local nonoperating grants","F1718_F1A_RV.Gifts, including contributions from affiliated organizations","F1718_F1A_RV.Total all revenues and other additions","F1718_F1A_RV.Instruction - Current year total","F1718_F1A_RV.Research - Current year total","F1718_F1A_RV.Public service - Current year total","F1718_F1A_RV.Academic support - Current year total","F1718_F1A_RV.Student services - Current year total","F1718_F1A_RV.Institutional support - Current year total","F1718_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1718_F1A_RV.Auxiliary enterprises -- Current year total","F1718_F1A_RV.Total expenses and deductions - Current year total","DRVGR2018_RV.Graduation rate, total cohort","DRVGR2018_RV.Graduation rate, American Indian or Alaska Native","DRVGR2018_RV.Graduation rate, Asian","DRVGR2018_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2018_RV.Graduation rate, Black, non-Hispanic","DRVGR2018_RV.Graduation rate, Hispanic","DRVGR2018_RV.Graduation rate, White, non-Hispanic","DRVGR2018_RV.Graduation rate, Nonresident alien","DRVGR2018_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2018_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2018_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2018","1599","88","6","33","18029","18","104465249","2315443","22372834","9337412","0","0","0","72596932","2256479","36181232","0","0","4040","305992697","159009747","2566776","1059469","23700287","28617757","39245635","20815131","1415004","305406880","69",,"77",,"45","55","66","73","40","63","69"
"190549","CUNY Brooklyn College","2018","1642","83","20","50","18161","16","58064014","6663619","23895140","10249324","59774","0","0","94695937","3189528","41111474","0","0","852129","286809708","144850401","9652578","1500496","25112476","26030349","35149014","19162749","3075554","292440505","58","100","66",,"50","46","59","50","29","53","58"
"190558","College of Staten Island CUNY","2018","704","77","19","58","13247","18","40958142","2966362","20733485","5279388","67476","0","0","67714658","4825918","30377092","0","0","6005","194071918","110974140","4652713","2080269","13273105","19610533","20669913","15779126","1157046","209066405","31","0","31",,"19","24","37","26","23","42","48"
"190567","CUNY City College","2018","1683","83","22","50","16043","14","52016389","38647771","28436608","29354670","197602","0","0","148236797","2882322","37192996","0","0","425937","391489133","223180129","74742485","7870014","37132483","23909164","42542364","26032145","3339014","473565395","55",,"59",,"54","50","58","50","16","47","55"
"190594","CUNY Hunter College","2018","2330","85","6","83","23202","13","103745271","20688057","29127079","55889270","4025187","0","0","112621083","3605831","38346355","0","0","1267122","399641084","190294574","31913020","6742591","50910643","34111481","54042592","30900913","6651785","441099212","56","80","59",,"51","48","59","55","28","50","56"
"190600","CUNY John Jay College of Criminal Justice","2018","1831","80","13","38","15394","17","46807823","8272752","25471248","23444804","0","0","0","76190817","9030520","37729348","0","0","24354","238545445","146337276","11401301","824914","33747854","26055139","33366094","20435125","2540063","298503178","46","55","48",,"50","46","44","37","26","42","46"
"190637","CUNY Lehman College","2018","919","81","21","48","14787","16","41472404","9069698","20240335","10244539","0","0","0","75626710","2146616","33640611","0","0","1349","209048199","124056863","6798253","4595378","16574206","17372110","21610134","17070454","2317235","231209699","49","50","51",,"44","48","54","67","24","43","49"
"190646","CUNY Medgar Evers College","2018","149","58","3","33","6638","20","9848619","3592275","12370237","7312971","0","0","0","51533043","3009909","21294432","0","0","42","120480286","67043182","1821923","2974670","19624935","13158750","9961714","10452583","807088","138861472","13","25","9",,"13","9","11","15","1","7","10"
"190655","CUNY New York City College of Technology","2018","912","69","19","63","17269","18","35404301","4460882","33437744","3281129","0","0","0","59634661","8681759","44589164","0","0","904","270727645","125365133","1641666","1047262","11249439","16501496","21753653","22587279","859053","222076064","17","18","22",,"14","17","22","16","7","22","27"
"190664","CUNY Queens College","2018","1639","84","33","61","19746","15","76456196","14362281","23482170","17027095","0","0","0","91400528","2504507","37093232","0","0","1524355","292043280","155875426","19424500","5634834","25736801","25094175","38548766","20158516","2743835","321139946","55","100","53",,"51","49","63","29","30","49","55"
"190691","CUNY York College","2018","1087","64","50","58","8693","20","18983250","4460654","16629380","2666850","0","0","0","46443887","1316790","20146306","0","0","826","112921245","61631167","2149205","1632886","9262252","15301173","18471531","9846162","1073380","131830004","30","22","28",,"33","28","29","36","6","23","30"
