"unitid","institution name","year","EF2019D_RV.Full-time fall 2018 cohort","EF2019D_RV.Full-time retention rate, 2019","EF2019D_RV.Part-time fall 2018 cohort","EF2019D_RV.Part-time retention rate, 2019","DRVEF2019_RV.Total  enrollment","EF2019D_RV.Student-to-faculty ratio","F1819_F1A_RV.Tuition and fees, after deducting discounts and allowances","F1819_F1A_RV.Federal operating grants and contracts","F1819_F1A_RV.State operating grants and contracts","F1819_F1A_RV.Local/private operating grants and contracts","F1819_F1A_RV.Sales and services of auxiliary enterprises","F1819_F1A_RV.Sales and services of educational activities","F1819_F1A_RV.Federal appropriations","F1819_F1A_RV.State appropriations","F1819_F1A_RV.Local appropriations, education district taxes, and similar support","F1819_F1A_RV.Federal nonoperating grants","F1819_F1A_RV.State nonoperating grants","F1819_F1A_RV.Local nonoperating grants","F1819_F1A_RV.Gifts, including contributions from affiliated organizations","F1819_F1A_RV.Total all revenues and other additions","F1819_F1A_RV.Instruction - Current year total","F1819_F1A_RV.Research - Current year total","F1819_F1A_RV.Public service - Current year total","F1819_F1A_RV.Academic support - Current year total","F1819_F1A_RV.Student services - Current year total","F1819_F1A_RV.Institutional support - Current year total","F1819_F1A_RV.Scholarships and fellowships expenses -- Current year total","F1819_F1A_RV.Auxiliary enterprises -- Current year total","F1819_F1A_RV.Total expenses and deductions - Current year total","DRVGR2019_RV.Graduation rate, total cohort","DRVGR2019_RV.Graduation rate, American Indian or Alaska Native","DRVGR2019_RV.Graduation rate, Asian","DRVGR2019_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2019_RV.Graduation rate, Black, non-Hispanic","DRVGR2019_RV.Graduation rate, Hispanic","DRVGR2019_RV.Graduation rate, White, non-Hispanic","DRVGR2019_RV.Graduation rate, Nonresident alien","DRVGR2019_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2019_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2019_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2019","1682","89","10","90","18679","19","103266415","2746049","22726039","8563996","0","0","0","75403443","2384085","38644729","0","0","617","292333919","161245848","2570597","1124074","21144405","26631935","39915476","21429936","1186584","327681705","70","60","78",,"52","60","67","63","44","66","70"
"190549","CUNY Brooklyn College","2019","1738","80","18","50","17811","16","60729955","6321987","25148481","11061694","51194","0","0","97943738","2745311","43384021","0","0","226340","286878863","153885870","13387436","1738043","25404030","25903604","36838237","18837703","2953783","313217837","54","33","53",,"50","41","61","45","27","48","54"
"190558","College of Staten Island CUNY","2019","811","74","10","70","12782","17","41786153","3464732","21856424","3983074","49976","0","0","70366910","14920870","30872391","0","0","2615","205155953","114129844","5258031","2394166","14044682","19793408","27109562","16131474","1308267","224254997","32","29","29",,"21","22","42","21","21","38","47"
"190567","CUNY City College","2019","1804","84","26","77","15816","14","58291640","31145492","27273782","29630579","0","0","0","152935877","3073151","38001017","0","0","481689","400906305","238385043","71712786","9620370","40498728","23080472","48549777","25632109","3812045","503627470","56","67","58",,"57","55","58","45","22","48","56"
"190594","CUNY Hunter College","2019","2589","81","9","56","23193","13","107756117","21888845","32175793","65242538","6838148","0","0","125072088","3395850","47171487","0","0","396017","426782387","234365195","35626310","8980371","22484598","32663335","59101453","26888005","8494953","472071093","57",,"61",,"52","51","59","52","25","51","57"
"190600","CUNY John Jay College of Criminal Justice","2019","1852","80","14","43","15880","18","50293352","9549593","26618784","25443676","0","0","0","76810535","6741368","40531121","0","0","68857","263939824","149507286","20423108","11619947","32294740","23698178","30161963","23255933","2718128","322919313","52","63","52",,"47","52","54","37","30","47","52"
"190637","CUNY Lehman College","2019","1012","83","20","70","15143","16","43576396","8662599","22586650","8906481","0","0","0","76141524","2284187","37518365","0","0","1319","217736358","128041846","6969284","4922709","16569310","18215283","23887763","18915209","2389072","244776485","53",,"51",,"53","54","51","54","24","47","53"
"190646","CUNY Medgar Evers College","2019","252","62","5","60","5798","18","11387574","2793843","11985264","8279278","0","0","0","50755377","9173143","20265670","0","0","0","123163652","74630968","1869816","1986921","14945947","13083067","17727513","10456743","917318","149789661","14","13","24",,"14","10","25","20","7","16","26"
"190655","CUNY New York City College of Technology","2019","1111","68","54","35","17036","18","39574280","4267039","38093155","3841541","0","0","0","65921161","16818472","42804830","0","0","9247","250234905","132803876","2595646","1899601","10281768","16388696","26996238","22693965","1007673","238737910","18","13","22",,"13","17","20","26","6","22","31"
"190664","CUNY Queens College","2019","1936","82","17","65","19923","16","78301539","14295931","24082630","18984609","0","0","0","92326733","2427560","39774053","0","0","560229","305772177","165578547","21437335","5789721","21088305","24822070","38709530","22437532","4458019","337094145","56","100","56",,"39","54","62","43","27","49","56"
"190691","CUNY York College","2019","1107","62","62","50","8337","19","20820152","5619267","17604978","2642426","0","0","0","48847335","1111494","20470320","0","0","871","126427251","66666691","2334951","1765702","8966073","14552114","19533734","10296017","1209356","139508849","35","30","39",,"37","32","27","15","9","29","35"
