"unitid","institution name","year","EF2021D_RV.Full-time fall 2020 cohort","EF2021D_RV.Full-time retention rate, 2021","EF2021D_RV.Part-time fall 2020 cohort","EF2021D_RV.Part-time retention rate, 2021","DRVEF2021_RV.Total  enrollment","EF2021D_RV.Student-to-faculty ratio","F2021_F1A_RV.Tuition and fees, after deducting discounts and allowances","F2021_F1A_RV.Federal operating grants and contracts","F2021_F1A_RV.State operating grants and contracts","F2021_F1A_RV.Local/private operating grants and contracts","F2021_F1A_RV.Sales and services of auxiliary enterprises","F2021_F1A_RV.Sales and services of educational activities","F2021_F1A_RV.Federal appropriations","F2021_F1A_RV.State appropriations","F2021_F1A_RV.Local appropriations, education district taxes, and similar support","F2021_F1A_RV.Federal nonoperating grants","F2021_F1A_RV.State nonoperating grants","F2021_F1A_RV.Local nonoperating grants","F2021_F1A_RV.Gifts, including contributions from affiliated organizations","F2021_F1A_RV.Total all revenues and other additions","F2021_F1A_RV.Instruction - Current year total","F2021_F1A_RV.Research - Current year total","F2021_F1A_RV.Public service - Current year total","F2021_F1A_RV.Academic support - Current year total","F2021_F1A_RV.Student services - Current year total","F2021_F1A_RV.Institutional support - Current year total","F2021_F1A_RV.Scholarships and fellowships expenses -- Current year total","F2021_F1A_RV.Auxiliary enterprises -- Current year total","F2021_F1A_RV.Total expenses and deductions - Current year total","DRVGR2021_RV.Graduation rate, total cohort","DRVGR2021_RV.Graduation rate, American Indian or Alaska Native","DRVGR2021_RV.Graduation rate, Asian","DRVGR2021_RV.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2021_RV.Graduation rate, Black, non-Hispanic","DRVGR2021_RV.Graduation rate, Hispanic","DRVGR2021_RV.Graduation rate, White, non-Hispanic","DRVGR2021_RV.Graduation rate, Nonresident alien","DRVGR2021_RV.Graduation rate - Bachelor degree within 4 years, total","DRVGR2021_RV.Graduation rate - Bachelor degree within 5 years, total","DRVGR2021_RV.Graduation rate - Bachelor degree within 6 years, total"
"190512","CUNY Bernard M Baruch College","2021","2044","87","11","64","19969","20","112654961","2477049","570306","4401070","0","0","0","69927286","1855152","75770790","25016500","71542","3868502","364088407","173326165","2385227","1402731","22223303","29498488","41011653","29579291","1497207","317801828","74","100","78","0","64","66","76","75","49","69","74"
"190549","CUNY Brooklyn College","2021","2135","79","12","75","15938","15","64954842","6096223","1421220","4676023","695","0","0","94375687","1682978","65971668","24560116","2682077","2891372","329714402","165436541","11112181","2185513","26363516","26918584","34842861","30756354","2026477","312582179","56","0","62","100","48","46","63","31","31","51","56"
"190558","College of Staten Island CUNY","2021","1054","73","5","80","11793","18","45435335","3095313","1761951","3886938","0","0","0","74300115","9986707","52065646","16969565","390863","198894","230989346","118286660","4658596","962197","14358313","19231164","28534158","21989639","1417825","233198724","34","0","38","25","23","26","44","23","26","45","49"
"190567","CUNY City College","2021","1982","81","41","63","15031","14","66792076","30331490","5105141","27405510","0","0","0","149944220","1712379","56170372","22479561","2050130","3022254","548166643","263896955","78005931","12612656","46277969","25769980","48330149","32490312","4548387","1129002242","57",,"59","50","57","54","62","56","24","48","57"
"190594","CUNY Hunter College","2021","2593","82","23","52","24099","15","121050176","20513720","3397524","19637359","1099803","0","0","103138682","2591139","77057139","30235923","2540225","5329737","560646805","200895164","33009158","7429851","19900519","28957595","54113120","36706128","7991340","398776046","58","0","62","63","53","51","59","56","31","51","58"
"190600","CUNY John Jay College of Criminal Justice","2021","1674","78","16","50","15210","18","50069848","4710014","904939","23121874","8854","0","0","81939349","4507497","70748439","25709071","51096","2434087","354879769","171546439","18514196","7994325","38114702","24082190","33402114","23227692","3216512","537789499","54","25","58","0","52","53","54","54","38","51","54"
"190637","CUNY Lehman College","2021","1307","74","20","45","14392","17","53773542","9103861","1515351","10164127","0","0","0","77295960","865177","52199639","18626093","2580966","30415856","290379276","142517521","6790221","5828861","16366264","18710950","24817130","25589651","2407477","338259943","53","100","48","50","56","54","52","46","28","46","53"
"190646","CUNY Medgar Evers College","2021","406","39","18","33","4134","16","14252418","1789669","1569971","5680014","0","0","0","49286975","4811907","24671324","5954593","167464","159895","144286761","71577498","1911057","1990388","16321822","13084504","16392359","10590574","1089484","197089386","22","0","44","0","22","18","33","23","19","24","30"
"190655","CUNY New York City College of Technology","2021","817","63","54","54","14277","16","42875558","2458209","10511769","2910992","0","0","0","73033449","12288269","59129449","19135943","78612","468148","245597268","140892731","1070663","1495537","12936241","16276591","29470706","26873268","1150802","312541542","21","20","29","11","15","19","26","24","10","25","30"
"190664","CUNY Queens College","2021","2192","80","36","72","18772","16","79200056","13992112","713841","8869152","0","0","0","86196054","2302560","72478440","22593808","557679","3030190","337999578","163487132","19853315","5277363","20870435","22828055","40911681","21294531","2759685","305738066","55","0","56","50","56","47","60","43","28","49","55"
"190691","CUNY York College","2021","830","60","17","53","7027","16","21277159","1860796","3535867","1928631","0","0","0","50995211","372222","30080397","9576456","191049","102268","138830211","69208518","1725380","2545091","9703809","14389109","17995411","10145862","1392375","132112386","33","59","45","9","32","25","27","33","9","26","33"
