Platform,Year_of_Release,User_Score
PS2,2002,7.9
Wii,2010,3.7
PS2,2003,
GBA,2001,
GBA,2003,8.3
DS,2007,tbd
PS3,2014,7
PS3,2012,6.9
DS,2008,
Wii,2010,tbd
PS2,2009,4.6
PS2,2002,
WiiU,2015,
PC,2011,5.6
PS,2000,6.5
PS,1999,
PS2,2005,8.8
Wii,2009,tbd
SNES,1994,
PS2,2002,8.7
GBA,2003,
PS3,2007,6.1
Wii,2009,8.4
XB,2003,8.2
PSP,2006,9.1
PS,1995,
X360,2007,4.1
PSP,2006,7.9
XOne,2013,7
PS3,2009,
GBA,2005,
DS,2008,
PS,1999,
3DS,2014,2.4
SNES,1996,
PS2,2005,
GC,2003,8
X360,2014,8.7
XB,2004,tbd
SNES,1995,
X360,2009,
X360,2014,2.8
GC,2002,
PSV,2012,7.5
PS2,2002,6.8
DS,2006,7.5
DS,2008,tbd
Wii,2011,tbd
XB,,8.9
PS2,2006,6.9
2600,1985,
DS,2011,tbd
PS,1998,
Wii,2008,7.2
PS2,2005,8.4
PS,1998,
PS2,2004,8.3
DS,2007,6.7
Wii,2008,7.8
Wii,2007,tbd
3DS,2014,6.4
Wii,2009,tbd
XB,2003,8.7
2600,1981,
PSP,2009,6.8
DS,2008,7
X360,2008,
X360,2008,7.3
X360,2011,6.8
DS,2005,
PS,1998,
PSP,2006,tbd
PSP,2007,8.2
GBA,2004,
PSV,2013,
Wii,2010,
Wii,2007,5.8
PS2,2001,
PS3,2011,7.3
PS2,2003,
SNES,1993,
N64,1998,
N64,2000,
Wii,2009,
DS,2010,
WiiU,2014,7
GBA,2001,8.2
PS2,2006,8.4
PS,1995,
GBA,2004,tbd
DS,2007,6.8
2600,,
PS,1995,
X360,2008,
Wii,2007,7.2
DS,2007,tbd
X360,2007,7.2
PS2,2009,
PS,1999,
PS2,2008,
PS2,2004,8.6
DS,2009,7.5
PS,1994,
XB,2005,6.9
GC,2004,6.7
PS3,2011,7.1
2600,1987,
GC,2004,9.1
X360,2009,7.7
XB,2003,tbd
X360,2010,5
PS,2000,
PS4,2016,7.6
PS2,2002,7.7
PS,1996,
3DS,2011,8.2
PS3,2015,
Wii,2010,
PC,2014,8.2
PS3,2013,7.2
2600,1981,
PS2,2004,
PC,2014,4.7
GBA,2004,8.6
Wii,2008,4.6
X360,2011,7
Wii,2010,8
X360,,6.9
PS2,2004,
PS3,2011,7.4
DS,2009,tbd
Wii,2009,tbd
PS2,2006,5.2
X360,2010,tbd
PS2,2005,
XB,2005,7.9
N64,1999,
PS2,2004,7.8
PS2,2005,
PS2,2002,7.4
PS2,2004,8.5
WiiU,2015,5.3
PS3,2011,6.6
XB,2005,8.7
X360,2012,7.2
PS3,2014,7.1
PS4,2014,5.6
PSP,2007,8.1
DS,2009,
PS2,2003,7.4
XB,2006,
DS,2008,7.7
PS,1996,
XB,2002,8.5
PS2,2005,8.5
XB,2005,5.9
GBA,2003,
PS,1997,
PS3,2007,6.6
PS,1999,
XOne,2014,
XB,2006,8.6
X360,2008,8
Wii,2007,5.8
DS,2005,7.6
PS2,2005,
PS,2000,
PS,1996,
SNES,1996,
X360,2014,
Wii,2008,tbd
Wii,2009,8.2
NES,1991,
N64,1997,
DS,2011,
DS,2004,
GC,2005,
PS2,2007,
Wii,2009,8
PS,2001,
X360,2012,8.3
PSP,2010,8
XB,2004,9.3
DS,2007,tbd
PS2,2002,
PS,2000,
GC,2004,
Wii,2011,6.2
GC,2003,7.2
X360,2013,5.1
GBA,2003,tbd
2600,,
PSV,2012,4.1
PS3,2008,6.6
PS2,2003,
Wii,2009,7.2
Wii,2009,4
GC,2002,9
GBA,2003,
X360,,7.2
GC,2002,8.7
Wii,2009,6.8
GBA,2004,tbd
PS2,2005,8.7
X360,2007,8.1
Wii,2007,2.8
Wii,2009,
PS2,2009,
X360,2011,7.7
SAT,1996,
PS2,2005,
PS3,2010,7.5
DS,2010,
PS2,2002,8.6
PS2,2007,tbd
PS3,2008,7.8
PS3,2009,
Wii,2009,tbd
XB,2002,5.2
Wii,2010,
GBA,2004,8.6
Wii,2007,6
PS2,2003,8.6
X360,2011,
PSP,2009,
PS3,2012,5
DS,2009,7
GBA,2004,8.2
N64,2001,
PS2,2008,
DS,2006,tbd
PS,2001,tbd
XB,2001,8.5
GBA,2005,
3DS,2011,6.8
XOne,2015,7.8
PS4,2014,
PS2,2005,8.4
SAT,1996,
PS3,2009,5.3
XB,2003,8.8
PS2,2003,3.6
3DS,2016,
PS3,2011,
PS3,2014,7.5
PS3,2010,5.5
PS,2001,8.1
X360,2013,7.4
XOne,2014,7.1
PS3,2014,6.8
X360,2012,8.4
PS3,2010,7
PS2,2000,8
2600,1981,
PS2,2004,8.1
GBA,2002,
GBA,2003,8.6
DS,2007,tbd
SNES,1994,
PS3,2013,6.2
X360,2015,5.4
PSP,2007,
GBA,2004,
PS3,2012,8.7
PS2,2009,8.7
PS2,2003,8.8
N64,1997,
N64,1998,
PS2,2004,7.8
DS,2009,
PS2,2003,8.2
DS,2010,7.9
PS,1996,
3DS,2013,6
PS3,2012,7.1
PS2,2001,8.8
PS2,2008,7.2
DS,2009,tbd
PS2,2006,6.8
DS,2005,8.5
PC,2012,7.6
DS,2010,tbd
PSP,2006,7.8
DS,2008,tbd
PS3,2010,6.9
PS4,2015,8
DS,2010,tbd
DS,2007,tbd
X360,2013,8.2
GC,2002,8.5
GBA,2002,
XB,2003,tbd
X360,2008,5.2
Wii,2009,tbd
PC,2006,7.6
PS2,2009,5.7
PS,1997,
PS2,2005,6.7
Wii,2008,6.6
DS,2006,6.5
PSP,2011,
SAT,1997,
GC,2002,8.6
PS3,2007,4.4
X360,2014,4.4
PS2,2007,5.4
PS3,2010,6.7
GBA,2001,8.9
PSP,2006,8.2
PS2,2006,4.9
PS2,2005,5.8
GC,2003,6.4
XB,2003,6.9
PS2,2003,3.1
PS,1999,
SNES,1991,
PS,1998,
DS,2011,
GC,2005,7.7
X360,2007,
Wii,2009,
PSP,2008,6.5
DS,2009,tbd
GBA,2004,
PS,1997,7.8
PS2,2003,7.5
PS,2003,
X360,2015,5.4
PSP,2009,tbd
PS,2001,6.9
PSV,2013,6.8
PS3,2012,8
SAT,1997,
Wii,2010,6.7
XB,2004,8.5
GBA,2005,
PS2,2003,7.7
PS2,2007,
PS2,2002,7.2
PS4,2014,7.2
PS2,2004,7.5
Wii,2009,8.1
GBA,2004,tbd
X360,2009,5.9
GBA,2004,8
PS,1998,
PSV,2011,
PS,1999,
Wii,2011,tbd
DS,2009,
PSP,2008,
XB,2002,8.7
PS2,2004,
Wii,2007,tbd
PS2,2003,
PSP,2007,7
N64,2001,
N64,1999,
N64,2000,
N64,1998,
N64,2000,
GC,2004,8.2
PSP,2005,7.6
PS2,2008,7.3
DS,2006,8.7
XB,2004,7.1
GC,2004,8.8
DS,2008,5.8
SNES,1995,
GBA,2004,
Wii,2010,7
PS2,2008,tbd
3DS,2014,8.2
DS,2010,
GC,2005,6.3
PS2,2007,1.7
PS3,2013,8.2
PSP,2010,6.4
PS,2001,6.8
PS2,2002,8.5
GC,2005,
PS2,2005,7.5
Wii,2012,7.5
PS,1998,
PS3,2009,7.6
GBA,2001,
XB,2006,8
XB,2006,
X360,2012,8.2
Wii,,8.1
WiiU,2016,6.8
DS,2008,6.8
X360,2010,8.4
DS,2007,9.2
PS3,2010,6.2
XB,2004,
PS2,2007,7
PS,2000,8.8
PS,1997,
X360,2006,7.9
Wii,2007,
PS2,2004,tbd
PC,,6.8
3DS,2013,4.5
PS2,2004,8.9
SAT,1995,
XB,2001,tbd
WiiU,2015,4.4
PS2,2003,
PS2,2003,8.9
PS4,2013,5.5
PS2,2003,
GBA,2001,
PS2,2003,8.7
X360,2005,8.2
GBA,2001,
DS,2010,tbd
PC,1998,8.6
PS2,2010,6.7
DC,1999,
PS,1998,
PS2,2007,5.9
XOne,2016,6
PS2,2010,tbd
PS,2000,
XB,2005,6.6
PSP,2009,
X360,2007,7.9
PS,2000,tbd
PS,1999,
PS4,2016,8.7
PS,2000,
PSP,2007,7.8
SAT,1995,
PS3,2010,6.8
PS3,2015,5.3
PS2,2002,5.8
DS,2007,
PS2,2006,7.5
PS3,2013,7.9
XOne,2015,6.9
PSP,2010,7.7
PSP,2007,7.1
DS,2009,2.8
DS,2009,
XOne,2014,3.2
SAT,1996,
PC,2016,5.8
PSP,2007,
PS2,2005,
Wii,2009,tbd
PS3,2010,6.3
PS,1996,
PSV,2013,1.8
Wii,2009,
PSP,2009,tbd
PS2,2002,
PS3,2014,4.1
PS,1997,
PS3,2007,4.8
WiiU,2012,6.9
N64,1999,
N64,1999,
NES,1985,
PC,2007,8.5
PS2,2002,5.7
PS2,2007,
PS,1997,
DS,2011,tbd
PS,1999,
Wii,2007,7.6
X360,2011,8.2
DS,2009,tbd
PS2,2009,4.4
PS2,2001,8.8
PS2,2006,
PSV,2015,8.1
GC,2002,8.7
PS2,2010,tbd
PSP,2010,
PS,1996,
Wii,2007,8.5
PS,1998,
DS,2008,
PS2,2008,8
GBA,2001,
PSP,2009,tbd
PSP,2010,
PS2,2009,4.6
Wii,2008,7.8
PC,2014,4.5
SNES,1995,
PS3,2008,
PS2,2005,7.6
SNES,1994,
PS2,2001,7.1
PS3,2011,6.4
X360,2010,6.6
DS,2010,6
PSV,2012,6.8
X360,2006,7.3
XOne,2014,
PS,2000,8.5
PS2,2005,7.6
X360,2011,7.5
PS3,2010,8
PC,2011,5.7
WiiU,2013,
PS2,2002,5
PS3,2009,8.1
PS,2003,
PS,2001,8.8
2600,1983,
X360,2008,8.6
X360,2010,5.6
2600,1981,
GC,2003,8.2
Wii,2009,7.1
X360,2011,tbd
X360,2007,4.7
Wii,2010,8.5
DS,2009,8.6
PS4,2016,
PSP,2009,tbd
PS4,2015,6.8
PS3,2013,9
GB,1997,
PS2,2009,8.6
PS2,2002,7.8
PS2,,tbd
PS3,2008,
Wii,2009,
2600,1982,
PS2,2005,5.7
GC,2003,8.5
PS2,2008,
PS3,2009,5
X360,2007,8.3
PS2,2008,7
GBA,2005,tbd
PS4,2016,8.6
PS,1997,
GC,2005,8.8
PS,1999,
GC,2004,tbd
SNES,1994,
X360,2012,7.4
WiiU,2013,8.5
Wii,2011,tbd
SAT,1995,
DS,2009,
PS,1999,
PS3,2012,7.4
PS2,2008,7.1
PSP,2011,
N64,1999,
N64,1997,
N64,1999,
N64,1997,
PS2,2001,5.7
PSP,2009,
PS3,2008,5
PS2,2004,4.3
PC,2013,4.6
PS,1999,
PS2,2007,tbd
PS2,2005,9
PSV,2012,7.8
PS2,2007,tbd
X360,2011,8.1
GBA,2001,
Wii,2006,7.3
3DS,,6.5
DS,2009,
XB,2005,8.3
PC,2012,6.6
GC,2006,6.7
DS,2009,tbd
GC,2004,8.4
PS,1999,
PS3,2008,
GBA,2006,
GBA,2004,tbd
Wii,2009,tbd
PS,1999,
X360,2010,tbd
PSP,2005,8.5
PC,2010,7.9
DS,2009,
SNES,1995,
PS3,2015,7.2
GC,2002,
XB,2001,7.5
PS3,2008,7.4
Wii,2009,7.1
Wii,2008,tbd
PS,2000,
PS2,2003,8.3
PS3,2007,
DS,2012,tbd
DS,2009,6
PS,1996,
PS2,,8.8
PS2,2004,
GC,2004,8.9
DS,2007,7.2
SNES,1995,
Wii,2008,
DS,2006,8.3
PS2,2005,8.5
PS2,2004,8.5
X360,2015,
X360,2007,8.3
DS,2009,3.1
PS2,2007,6.4
XB,2005,7.4
Wii,2008,tbd
PS2,2007,6.7
DS,2009,5.3
N64,1998,
3DS,2012,7.6
PSP,2011,
Wii,2010,8.8
PS,2000,tbd
DS,2009,tbd
PS,1997,
2600,1982,
PS2,2002,
X360,2009,6.3
Wii,2011,7
GBA,2003,tbd
PS3,2012,7.3
PS2,2008,7.4
PS4,2015,
PC,2010,8.8
PS3,2010,2.8
XB,2002,7.3
3DS,2012,7.3
PS3,2010,5.7
GBA,2002,
PS4,2015,
XOne,2016,8.6
X360,2010,7
DS,2008,
PSP,2008,7.3
DS,2008,tbd
2600,1981,
3DS,2011,5.3
PS,1998,
DS,2008,tbd
GC,2004,6
PSP,2009,
PS,2001,
PS3,2012,8.2
X360,2010,7.2
PSV,2012,
3DS,2011,
Wii,2011,
XB,2003,8.7
3DS,2011,5.3
GBA,2004,7.6
N64,1999,
N64,2000,
N64,1998,
N64,1999,
Wii,2009,7.6
Wii,2009,
PS4,2016,8
GC,2005,
WiiU,2013,7.3
Wii,2010,
PS4,2013,5.2
PS3,2010,5.2
PS2,2003,
X360,2009,6.3
DS,2008,tbd
PS2,2000,8.4
PS2,2002,8.8
PS3,2010,6.1
SNES,1991,
PS2,2005,5.6
PS3,2008,8.1
Wii,2011,tbd
PS2,2003,7.3
SNES,1992,
GB,2001,
X360,2012,7.5
PS2,2006,8
GBA,2005,7.5
X360,2006,8.7
SNES,1994,
DS,2005,9
PS2,2002,7.5
Wii,2012,
PS3,2015,8.2
XB,2005,7.2
PS2,2007,tbd
PS4,2016,
PS4,2014,5.8
PS3,,7.6
3DS,2011,7.7
PS2,2008,tbd
2600,1981,
PS,1999,
Wii,2009,
DS,2009,tbd
3DS,2013,7.6
X360,2010,5.4
PS3,2008,6
X360,2011,7
GBA,2003,8.3
PS3,2011,6.3
PS2,2003,
PS3,,6.9
PS,1996,
PSV,2012,
SNES,1991,
PS2,2003,8.7
GB,1998,
PS,1997,
PS,1998,
X360,2013,6.2
XB,2004,8.3
PS2,2007,3.9
PS2,2007,
Wii,2009,
PS3,2006,7.6
GBA,2005,
DS,2007,
3DS,2011,8.2
PS2,2001,4.6
Wii,2008,8.4
GC,2002,7
PS3,2007,7.9
DS,2007,
PS2,2002,
GBA,2002,tbd
PS2,2008,8.3
PS2,2002,7.8
Wii,2013,4.3
DS,2005,
PS3,2008,7.4
PS4,2015,6.3
SAT,1995,
DS,2009,tbd
GC,2005,5.7
PS,1994,
Wii,2007,5.4
PS,1998,
X360,2014,7.4
PS,2000,
PS2,2005,5.1
PS2,2004,8.5
3DS,2013,
PC,2016,7.6
GC,2003,8.7
3DS,2012,7.8
3DS,2011,
PS2,2010,tbd
GBA,2004,
PSP,2006,8.7
PS2,2003,8.8
PS4,2016,7.6
PS,1996,
X360,2016,1.7
PS2,2002,6.5
DS,2007,tbd
PS2,2000,tbd
GB,1991,
PS2,2008,tbd
PS2,2008,6
PS2,2008,7.4
PC,2011,8.1
DS,2010,9
SAT,1996,
PS,1999,
XB,2002,8.9
PS2,2007,8.2
PS,1998,
DS,2008,
PC,2009,8.8
SNES,1995,
PSV,2013,
PS3,2010,5.8
DS,2009,tbd
GC,2003,6
PSP,2011,
3DS,2012,
Wii,2010,tbd
PSP,2010,tbd
PS,2000,
PS3,2009,6.3
Wii,2007,8.1
PS,1999,
PS2,2008,5.8
2600,,
DS,2009,6.3
PSP,2009,6.6
PSP,2007,tbd
Wii,2008,4.5
DS,2008,tbd
Wii,2008,
PC,2005,7.7
PSP,2010,tbd
2600,1982,
PS2,2004,7
PS3,2014,
XB,2005,8.6
DS,2013,4.8
PS2,2010,7.8
3DS,2011,6.7
PS3,2013,7.1
WiiU,2014,7
GC,2004,7.3
DS,2009,
DS,2008,tbd
Wii,2009,
WiiU,2012,6.9
PS3,2013,6.6
2600,1986,
PS4,2016,
PS2,2006,5.8
DS,2010,
DS,2008,tbd
PSP,,4.1
PS,1997,
PS3,2015,
Wii,2009,8.6
PS4,2016,
PS3,2008,3.5
PS2,2008,4.3
GC,2005,7.2
XB,2002,tbd
X360,2006,3.9
Wii,2008,6.1
PSP,2011,tbd
PS3,2006,7.4
PS,1994,
PS2,2006,tbd
WiiU,2012,7.8
PSP,2011,
GC,2002,4.7
PS2,2003,7.8
PS2,2004,8.7
DS,2010,tbd
PC,2010,6.7
PS2,2006,7
PS2,2002,7.9
X360,2009,6.4
SNES,1994,
X360,2007,5.9
SAT,1995,
PS2,2007,8.3
PS,1998,
Wii,2009,tbd
PS3,2010,6.9
DS,2009,6.3
X360,2005,6.7
PS3,2013,3.8
PS3,2007,8.2
Wii,2011,tbd
N64,2000,
N64,1999,
N64,2000,
PC,2011,5.2
2600,1981,
GC,2004,8.1
PSP,2010,7.4
PS4,2016,8.5
3DS,2014,8.2
Wii,2009,5.5
GC,2002,8.3
DS,2007,
X360,2006,7.3
PS4,2016,8.7
Wii,2007,7.1
GBA,2003,
PS3,2015,5.5
PS3,2015,4.2
DS,2006,6.8
DS,2009,tbd
PSP,2007,7.8
GBA,2003,
X360,2011,5.9
DS,2008,
PS4,2016,8.1
PSP,2005,7.4
SNES,1994,
PS2,2006,7.7
Wii,2009,7.7
Wii,2009,7.9
N64,1999,
DS,2007,2.7
SNES,1994,
PSP,2007,7.6
X360,2009,7.5
PS2,2006,9
XOne,2014,
Wii,2008,8.5
DC,1998,
PC,2008,8
Wii,2009,8.3
DS,2008,5.7
GB,1997,
WiiU,2012,7.4
PS3,2011,
PSP,2006,7.5
PS2,2007,8
PSP,2006,7.9
WiiU,2012,
XB,,8.8
Wii,2009,8.3
GC,2004,6.7
PC,2011,5.8
SNES,1994,
PS2,2008,7.9
DS,2006,8.6
SAT,1996,
PS2,2001,7.8
PC,2014,5.5
PS3,2014,1.6
DS,2008,8.7
Wii,2008,tbd
DS,2009,tbd
PC,2009,8.5
Wii,2010,8.8
DS,2009,
SNES,1994,
WiiU,2016,7.4
PS3,2009,6.4
SNES,1993,
X360,2010,6.3
PS2,2002,
PS2,2003,8.1
PS2,2005,6
PS2,2005,7
DS,2010,
DS,2009,7.9
DS,2007,
PS3,2009,7.4
PS2,2001,8.5
PS2,2005,7.1
PSV,2015,7.1
PS,1997,
XOne,2013,
GBA,2002,9.3
PS2,2001,8.5
PS,1997,
GBA,,
X360,2009,8.5
SNES,1997,
PS,1997,
PS2,2000,tbd
XB,2005,8.7
N64,2000,
N64,1997,
NES,1993,
N64,1997,
Wii,2009,6.2
Wii,2008,7.1
PS,2001,6.3
GBA,2001,tbd
Wii,2008,tbd
Wii,2010,tbd
XB,2004,7.5
PSP,2006,8.4
GBA,2002,
SNES,1994,
PS,1999,
PS4,2015,6.8
XB,2003,8.9
PS2,2005,
PS2,2004,8.7
DS,2007,
PS2,2004,
X360,2010,7.6
PSP,2012,
Wii,2007,5.9
3DS,2014,4.8
PS2,2003,
PS2,2003,8.2
PS,2000,
PS3,2008,
GBA,2001,
XOne,2016,7.7
PSP,2008,5.5
PS,1995,
2600,1981,
XB,2002,7.2
PSP,2011,
PS,1998,
SNES,1994,
PS2,2001,5.3
PS2,2009,8.5
DC,1999,
WiiU,2012,2.7
DS,2010,tbd
PS,1997,
XB,2001,5.4
PSV,2013,8.4
PS3,2014,
PS,1998,
PSV,2012,8.2
DS,2008,
GBA,2005,
PS2,2005,8.9
DS,2005,8.7
Wii,2009,tbd
GC,2005,
PS4,2015,
PS3,2013,7.5
PC,2014,8
PS2,2006,7.6
GB,1996,
PSP,2007,
X360,2015,
X360,2013,6.2
3DS,2013,
Wii,2009,
PS2,2004,tbd
PS2,2003,
PSP,2008,8.4
PSP,2009,6.9
GBA,2002,tbd
PS2,2003,8.3
XB,2003,9.1
Wii,2008,1.1
X360,2011,
PSP,2009,8.8
DS,2007,9.1
PS2,2006,
PS3,2010,6
PS3,2009,7.2
SNES,1995,
SNES,1993,
Wii,2009,6.8
PS2,2001,8.6
PS2,2003,5.3
PS,2000,8.4
PS4,2016,3.8
WiiU,2012,7.1
PS4,2016,7.8
GBA,2003,5.8
DS,2011,
Wii,2009,8.2
PSV,2013,8
X360,2013,8.4
N64,2000,
Wii,,
PC,2015,6.9
PS2,2003,6.6
PS3,2009,
GC,2006,7.8
GBA,2003,tbd
PSP,2012,3.2
PS2,2004,
X360,2010,7
PS,2000,
XB,2003,tbd
PS3,2013,6.9
X360,2009,5
DS,2009,
PS2,2007,tbd
X360,2015,4.4
PS3,2011,
PS2,2009,7.6
PS2,2002,8.7
Wii,2007,4.8
PS2,2005,6.9
PS,2001,
X360,2008,5.6
XOne,2016,5.1
PS2,2008,tbd
PS2,2002,8.7
PS4,2016,4.7
XOne,2014,6.6
DS,2008,
GC,2004,8
PS2,2003,9.1
PS2,2003,8.9
X360,,7.5
PS2,2000,
PS,1998,
PS2,2000,7.8
PS3,2008,6.4
PS,1999,8.9
SAT,1996,
PS2,2002,tbd
PSP,2006,8.5
GC,2006,9.3
PC,,8.5
PS2,2005,4.1
PS4,2016,7.9
PS,1998,
GBA,2005,
Wii,2011,6.7
X360,2007,6.3
PSP,2011,
GBA,2002,tbd
PS2,2008,
Wii,2009,tbd
PS2,2006,9.1
WiiU,2013,3.4
PS3,2011,5.6
DC,1999,8.8
PS,1999,8.5
X360,2008,
Wii,2010,7.6
GBA,2004,tbd
DS,2007,tbd
Wii,2011,5.2
X360,2011,7.2
PS3,2009,8.7
X360,2012,7.5
2600,1980,
GBA,2002,6.6
PS2,2003,9.1
DS,2009,5.8
PS2,2004,8.6
SAT,1995,
Wii,2007,7.6
PS2,2009,8.3
GBA,2004,
PS,1997,
PS2,2000,tbd
XB,2004,8.8
X360,2010,7.1
PS2,2001,8.1
2600,1983,
2600,1982,
WiiU,2016,
DS,2007,
PS3,2010,4.3
PC,2013,2.1
Wii,2006,8
Wii,2010,tbd
GC,2005,6
Wii,2011,6.8
XB,2004,6.5
2600,1981,
PS3,2010,
SAT,1995,
XOne,2014,7.9
DS,2005,7.6
PS3,2008,6.7
DS,2008,7.3
N64,1998,
X360,2006,7.3
2600,1982,
PS3,2007,7.2
PS,1998,
2600,1981,
PS2,2004,6.3
XB,2006,8.6
PSP,2011,7.2
DS,2007,
PS,1997,
XOne,2015,
DS,2008,
X360,2006,7.3
PS,1998,
PSP,2010,
3DS,2011,7.9
DS,2008,tbd
XB,2002,tbd
PS3,2012,
PC,2011,6.3
GBA,2005,6.8
GC,2003,8
X360,2005,8.1
PSP,2007,
PS3,2009,7
PS3,2010,6.2
PS2,2009,
PS4,2015,
DS,2008,tbd
DS,2007,8.7
PS2,2008,6.5
PSP,2008,7.1
DS,2008,tbd
PS,1996,
PS2,2001,6.8
3DS,2015,
XB,2005,6.6
X360,2007,5.3
3DS,2013,3
PS2,2005,tbd
PS3,2007,8.2
PS3,2011,
XB,2006,6
DS,2010,tbd
PS,1996,
PS3,2008,7.7
PS4,2016,8.3
PS2,2003,
GBA,2003,8.1
PS,1998,
DS,,tbd
PS4,2016,5.8
DS,2007,8.6
DS,2009,
PS3,2009,7.8
PS4,2016,
PSP,2006,8.2
PS,1998,
PSP,2009,
DS,2009,tbd
X360,2011,5.4
DS,2006,6.4
PSP,2004,5.8
GC,2003,8.7
GC,2005,8.3
XB,2003,7.7
PSP,2006,8.3
PS2,2001,9.1
XB,2003,7.6
PS2,2002,tbd
XB,2001,tbd
X360,2011,8.2
PS,1999,
GC,2004,8.6
X360,2008,6.2
X360,2009,6.8
DS,2009,tbd
PSV,2012,6.7
Wii,2007,7.6
PS2,2002,8.4
PS3,2013,6
GBA,2005,tbd
PS2,2002,6.7
PS,1999,
PSP,2011,tbd
GB,1990,
SNES,1994,
X360,2009,6.2
PSP,2006,8
PS2,2009,7.5
PS2,2001,tbd
Wii,2008,
GBA,2004,8.6
PS2,2009,
XB,2006,9
GBA,2001,tbd
PS2,2003,9
DS,2007,8.2
N64,1998,
N64,,
X360,2007,8.6
PS3,2010,5.4
PSP,2011,
PS,1998,
PS2,2006,6.4
PS2,2002,7.6
SNES,1991,
DS,2007,8.5
GC,2005,7.9
3DS,2015,6.6
Wii,2009,tbd
PS2,2003,8.9
PS2,2005,8.8
X360,2010,7.7
Wii,2011,6.6
Wii,2011,
GC,2006,7.7
PSP,2008,8.4
PS,1994,
Wii,2010,
GBA,2003,7.7
DC,2001,
PSP,2006,tbd
PS,2000,tbd
GBA,2003,7.8
GC,2005,
PC,2012,5.4
SNES,1991,
GC,2005,8.7
DS,2007,
Wii,2007,8.1
PS,1997,
PSV,2013,8.1
PS,1996,
PS3,2009,7.1
PS3,2014,8.3
PS2,2007,
GC,2006,6.9
Wii,2010,tbd
Wii,2008,8.3
2600,1983,
PS3,2012,8.2
GC,2005,tbd
2600,1981,
GBA,2005,tbd
Wii,2010,tbd
X360,2010,3.7
PS,1995,
PSP,2009,8.1
XB,2006,5.7
X360,2008,5.8
PS2,2004,
DS,2007,7.6
PS3,2010,
DS,2009,tbd
PC,2008,8.5
GBA,2004,tbd
PS2,2004,tbd
Wii,2011,8.2
Wii,2010,tbd
PSP,2012,
PC,2011,
Wii,2010,4.6
PS2,2003,7.8
X360,2009,tbd
PS,1999,
Wii,2011,5.7
X360,2009,7.4
Wii,2006,7.4
DS,2009,tbd
PS3,2010,6.3
3DS,2015,8.5
XOne,2015,6.1
PS3,2008,5.6
PC,2011,8.3
N64,1998,
DS,2008,
DS,2008,tbd
X360,2011,tbd
PS2,2001,8.3
X360,2011,5.8
XB,2005,8.9
PS,1997,
PS,2002,
Wii,2009,5.2
PS3,2013,7.4
X360,2012,7.3
PS,1996,
PS3,2011,7.1
PS,1997,
XOne,2015,7.2
X360,2007,7.9
PS,1999,9.3
X360,2012,7.9
PS2,2003,
PS2,,6.9
3DS,2014,
X360,2009,7.2
DS,2008,7.8
X360,2007,8.8
PS2,2008,
PC,2009,8.7
PSP,2007,7.6
PS2,2005,8.4
X360,2005,7.2
X360,2007,7
DS,2010,tbd
DS,2009,tbd
DS,2009,tbd
GC,2003,8.4
PS3,2011,5.7
PS2,2000,8.4
N64,1997,
PS,2000,
X360,2015,6
GB,1995,
PC,2016,7.5
PSV,2014,8.4
Wii,2006,7.5
PS3,2008,6.9
GBA,2001,tbd
DS,2010,tbd
PS,2000,7.8
PS3,2011,6.3
Wii,2011,tbd
Wii,2008,tbd
PSP,2009,5.7
PS,1997,
PS2,2003,8.5
PS3,2012,4.8
PS,1995,
X360,,7.7
PS2,2004,7.8
PS3,2009,
PSP,2010,6
PS2,2001,
SAT,1995,
PSV,2015,8.6
X360,2011,
PS,1999,
GBA,2005,
PS2,2002,8
Wii,2011,tbd
GBA,2005,
NES,1991,
PS2,2003,8.3
PS2,2009,tbd
X360,2006,7.3
GBA,2002,
2600,,
2600,1982,
PSP,2008,7.5
PS,1997,
PS3,2007,8.2
DS,2008,
PS4,2014,6.9
PS3,2012,7.6
XB,2002,7.9
Wii,2010,
SNES,1993,
PS2,2003,
GBA,2002,tbd
PS2,,8.6
PS,1997,
PS,1997,
SNES,1994,
XB,2003,8.8
GBA,2001,tbd
Wii,2008,tbd
X360,2008,6.9
X360,2010,tbd
PS2,2008,
X360,2006,8
PSP,2005,8.7
DS,2009,tbd
DS,2011,tbd
XB,2004,7.9
PS2,2001,tbd
X360,2007,7.4
X360,2015,7.5
SNES,1996,
PS,2001,
PS2,2000,8.7
DS,2008,tbd
PC,2011,5.4
DS,2009,tbd
PS2,2002,7.2
PS2,2009,6.4
PSP,2010,5.5
PS3,2011,6.6
DS,2008,
PSP,2009,8.2
Wii,2009,tbd
PS2,2004,8.8
XB,2002,9.3
X360,2007,6.3
X360,2016,5.7
XOne,2013,5.5
PS,1998,
PS3,2011,5.6
DC,1999,
PS3,2012,5.6
PS3,2009,7.6
PS,1997,
PSP,2007,tbd
PSP,2011,
X360,2010,8.7
PS3,2007,7.5
XB,2003,8.9
DS,2010,8
PC,2013,7.5
PS,1995,
X360,2009,6.8
PS2,2007,
Wii,2007,8.1
GBA,2003,6.6
SNES,1995,
PSP,2008,
GB,1999,
DS,2007,
PS,1998,
Wii,2009,3
XB,2002,7.8
PS2,2005,7.9
Wii,2008,8.4
PSP,2010,8.1
PS3,2013,7.7
X360,2011,7.9
PS3,2014,7.9
PS2,2003,
PS,1996,
XB,2004,
DS,2011,tbd
XB,2005,7.3
X360,2008,tbd
3DS,2011,4.8
